RecordID;ID;SomeData
1;cf 27 47_J2ld;Data_1
2;7d a3 d5_01JS;Data_2
3;61 93 ad_SM9b;Data_3
4;d4 c1 1b_jDlL;Data_4
5;fe 1c 2e_8Qao;Data_5
6;d5 b8 30_xNtw;Data_6
7;04 b8 c2_ASWz;Data_7
8;4a ab 39_MLAp;Data_8
9;84 97 ec_9zt1;Data_9
10;9d b0 72_KpmO;Data_10
11;4a 24 b0_hWps;Data_11
12;13 0c 46_9LiQ;Data_12
13;ad 4d 42_ESTA;Data_13
14;d4 fa f2_i1xd;Data_14
15;23 8c 6b_XpEk;Data_15
16;3d 66 27_7V8j;Data_16
17;23 72 48_TTGf;Data_17
18;de 0f 0f_0Sa4;Data_18
19;82 bd 4e_TAD4;Data_19
20;2f 62 23_7zM7;Data_20
