RecordID;ID;SomeData
1;3d a1 8d_cOCH;Data_1
2;e8 b8 96_RMx9;Data_2
3;48 6f e5_YcA4;Data_3
4;6c 9e 6e_tPkR;Data_4
5;e4 cc 7c_2PQl;Data_5
6;ba f2 46_Gna2;Data_6
7;87 65 28_viJa;Data_7
8;b2 2f 9b_64aD;Data_8
9;0a 38 0f_u5Rk;Data_9
10;68 da 14_36hN;Data_10
11;86 5d 01_US0a;Data_11
12;ee 17 1d_jb0E;Data_12
13;d9 c7 5e_Hdo6;Data_13
14;d7 48 18_SBDu;Data_14
15;d6 37 48_I5OM;Data_15
16;33 b6 5a_3kvJ;Data_16
17;1c f9 55_9iUj;Data_17
18;db 81 34_KsHC;Data_18
19;c9 4f e3_rbhe;Data_19
20;2a 98 b3_YVSv;Data_20
