RecordID;ID;SomeData
1;33 97 c1_lwGg;Data_1
2;14 ab ea_cboS;Data_2
3;6e e7 b5_E5IE;Data_3
4;43 1b 4e_X4ot;Data_4
5;23 26 3b_zrrn;Data_5
6;74 d5 99_CCom;Data_6
7;97 76 34_bThl;Data_7
8;11 57 1f_pKyc;Data_8
9;9f d9 86_ReDY;Data_9
10;79 0c fe_GIMe;Data_10
11;d3 7a a7_aqzB;Data_11
12;72 9c eb_1zDy;Data_12
13;c9 f9 fe_ZYlL;Data_13
14;d4 ed 0a_xoUk;Data_14
15;9a 22 ed_OBd7;Data_15
16;d2 4c 10_2W2y;Data_16
17;bb 18 f6_FQqB;Data_17
18;de d3 28_L95g;Data_18
19;73 24 86_qEzG;Data_19
20;f0 f5 c4_GOlz;Data_20
